,Max Discharge
0,193.9042869568496
1,196.4720290197905
2,247.73061281301187
3,150.52332939767965
4,185.13875357708787
5,193.5794568431698
6,184.81767175099804
7,205.89877216100427
8,116.77965117966352
9,182.12200276572645
10,276.02318470636857
11,199.52130502229755
12,219.2844766216804
13,116.8775869861404
14,148.52882535047135
15,269.2964906823776
16,189.20691472770736
17,224.6499750028368
18,383.7686599087354
19,309.33487120217785
20,205.68143214919203
21,185.6526071014171
22,192.0979252628212
23,248.6784144697521
24,245.5411814100366
25,207.3505529606456
26,210.86460659791456
27,195.6633972302324
28,109.36521521702272
29,319.15503906671347
30,160.63722311191248
31,124.1231827560888
32,216.2434487428032
33,125.78648557471595
34,227.60754294828723
35,193.0958642058032
36,188.300302553324
37,206.6201785253428
38,199.4152862684348
39,110.66631648949964
40,324.70838633967
41,371.9197296641011
42,89.1480180415977
43,125.84092882736044
44,592.3956730093605
45,266.7437367463765
46,202.15437773368896
47,239.42570604182183
48,97.0387843401499
49,246.35898571546807
50,241.8893106779424
51,186.25787578825927
52,146.9128491945581
53,199.67698627458608
54,91.07441316437328
55,151.66425504573277
56,175.75845950390965
57,294.8871916537653
58,185.3994068833661
59,127.5163900760261
60,165.97222025018857
61,199.30132754099813
62,200.7928002437621
63,102.51738636800732
64,161.23786377003344
65,178.9118991988622
66,124.18126549969104
67,383.9327576182163
68,195.64728629014445
69,205.2642150148397
70,201.4960330205503
71,224.9097994406252
72,76.03602801845804
73,237.3015042814919
74,85.02769940708934
75,243.8175997574669
76,244.67144771919445
77,190.57566630526992
78,331.34748734677817
79,201.49427553018035
80,123.16823936768986
81,191.7008051713132
82,157.74170800428809
83,81.54360240578548
84,223.1735936419745
85,188.14219063548265
86,189.44109780837684
87,188.3146812837055
88,247.60265704705515
89,117.4388282770626
90,113.25300875194276
91,378.4271497066307
92,244.8217280980204
93,186.88180067682424
94,114.21253400400826
95,160.38117305140307
96,204.30177646818865
97,130.62899150148195
98,132.3279487967912
99,202.1098960726659
100,251.5639189189913
101,143.4915422365404
102,185.0426236985976
103,187.4890767872241
104,383.802202867513
105,114.9700573139251
106,90.65655799510816
107,203.74468762937136
108,187.50609968913287
109,206.35512348795297
110,120.72315753563952
111,289.8193018500295
112,152.38006408402077
113,200.5645354532812
114,110.20418824552156
115,236.8743104654112
116,200.4082952830276
117,105.26901156340328
118,0.0
