,Max Discharge
0,559.8109619002362
1,668.5069883702263
2,557.9662140989834
3,587.560973240373
4,669.9399378035633
5,605.9947768309094
6,578.360006730875
7,613.715595033636
8,523.2046192791156
9,595.7266264376656
10,681.0400713219358
11,557.8221594277319
12,759.1519077602934
13,530.7828669047776
14,573.4626441669484
15,421.259916430868
16,494.825572103024
17,671.6367018818336
18,392.178828363208
19,544.117975963661
20,541.9357098755768
21,578.8385966752477
22,601.1241724383585
23,567.5890940726377
24,687.4017265518779
25,621.0684741398197
26,671.5789828039539
27,643.0572978553647
28,582.0716771350117
29,583.7317363591848
30,652.045908832794
31,620.0670944617368
32,594.0006748360926
33,572.0757737547603
34,553.6707320968366
35,477.251587774488
36,617.0493754194802
37,512.5516704458116
38,624.8235843397406
39,632.5896281896187
40,472.25692192533575
41,585.3373998640823
42,567.2666703189549
43,565.5364638458772
44,393.76943130917954
45,616.5632066071587
46,648.9299694716383
47,540.6087065120229
48,645.7743782043842
49,743.7821818398014
50,621.1318977085929
51,550.4150523626564
52,528.5464836576831
53,752.8262954572203
54,637.1820054598645
55,631.8712097354272
56,586.3259306573184
57,624.9355312340714
58,588.7964488793023
59,575.8061677783043
60,700.8835604300343
61,595.4536787324647
62,663.6967037853083
63,596.5239166354789
64,565.9438453593818
65,653.9353252127094
66,622.7415866824235
67,401.7242949206559
68,568.0543521383142
69,609.9044801753155
70,542.5915421768256
71,578.1916720602447
72,585.8678223051204
73,516.2024715788722
74,680.9930881910727
75,569.4159789042669
76,653.6599143196472
77,609.9950294277473
78,516.2832911758171
79,580.5052711205134
80,613.7718298748879
81,694.3271199625533
82,688.7055459760531
83,521.672879582463
84,383.9725433321664
85,638.799923026036
86,595.1002208683182
87,586.6022749250831
88,719.3111576529836
89,512.6967492352725
90,472.50733381372777
91,581.567501781389
92,621.5122760425331
93,618.1909107053799
94,620.0389083763956
95,629.2083819702868
96,615.9618831659095
97,627.3777416469005
98,572.3697352036793
99,656.4278423671494
100,601.7107704193036
101,636.3144426935144
102,0.0
