,Max Discharge
0,185.02300675466384
1,199.6701186014405
2,311.37280074719854
3,255.2808295382005
4,117.14524016280798
5,364.9292068867062
6,152.56086801512205
7,227.13360998259256
8,153.8157701308927
9,188.3844164040596
10,176.89636980238274
11,210.05397012596603
12,181.78533153824327
13,248.01958358705184
14,190.98300426524744
15,274.95314349549216
16,257.768698952905
17,332.4165993985141
18,177.9477133103497
19,151.54492753685875
20,282.9994134740137
21,508.25475257619394
22,245.2027208221122
23,278.85221912947503
24,391.21112764420246
25,258.3554703260039
26,730.8759123131911
27,347.6432978798466
28,276.5060092681184
29,331.31533655824745
30,256.3152710482541
31,254.20868444167405
32,383.9630776782652
33,360.99087267248393
34,242.8271345363737
35,241.1060793469669
36,253.6061241946878
37,276.7839253753765
38,328.5901574748732
39,232.2208072957721
40,244.5356022044064
41,332.50103946289374
42,113.7387811911108
43,383.8289201333628
44,266.0826678831823
45,277.7551610707707
46,294.493321916736
47,330.86270875041055
48,330.5437275774003
49,283.72926576233004
50,246.0393592171665
51,297.1443153171781
52,250.86812411582696
53,322.6743880529727
54,154.24368218971483
55,265.7106379355422
56,199.64474429100684
57,275.78557045229667
58,259.33126689753834
59,383.9153632772574
60,394.698883286916
61,262.3143460855035
62,279.7739794705017
63,189.1045347433548
64,303.4354871573316
65,100.47948310789268
66,253.27117582932303
67,151.96671775531456
68,84.18887173065544
69,279.98059514236246
70,189.15108460356305
71,264.7450770812657
72,289.44410975037914
73,604.0864829567892
74,199.25243897751963
75,129.28142017337854
76,262.16463499517056
77,233.39768779553967
78,290.4668193624516
79,330.62396021267745
80,432.3187993700636
81,479.0266115241545
82,242.00879222213865
83,243.41002627710407
84,331.14717365327743
85,265.4669091116512
86,331.3305095861457
87,634.4896804026146
88,365.5926234859989
89,247.53885132120263
90,267.27868622153073
91,311.4055959322558
92,161.04153560585755
93,248.48633803780416
94,193.8417511029337
95,239.1464836018222
96,152.56347989311143
97,330.9562977747904
98,231.7548567613556
99,327.3869410369828
100,191.02523191539285
101,154.24364886496153
102,270.71299180283773
103,201.8463801522938
104,313.940103631125
105,114.33911854321204
106,204.2572529652876
107,273.2822158414183
108,184.95980407297185
109,0.0
