,Max Discharge
0,681.3680886947487
1,551.7842205430769
2,196.54305385077043
3,642.970571188699
4,194.61966414693856
5,187.1985512335096
6,199.40016459004403
7,553.434293732862
8,373.3332546578862
9,331.17499530814945
10,686.47334711459
11,697.5358369445491
12,246.802342840799
13,376.6475732593292
14,595.2659907557768
15,602.4570232266432
16,264.4598796964509
17,197.2612924704968
18,623.9168558505468
19,733.2392264940752
20,190.3429221476396
21,497.8431094178811
22,619.9709864884908
23,754.0496571601377
24,219.2209754768716
25,265.86601038759693
26,249.299291867
27,419.350012178074
28,280.0514339376737
29,759.9346826862203
30,499.1786961814464
31,240.84908809210427
32,346.7006513008342
33,383.931111761813
34,601.7286833269021
35,411.6240998289896
36,204.9812497048836
37,257.40383014674325
38,755.6277619307306
39,332.26825918755384
40,209.9744380795474
41,547.6732195633022
42,359.2227729646948
43,383.8749254485895
44,400.1957740012474
45,667.4234153634516
46,331.14664887201144
47,267.7036679701168
48,629.1579368129823
49,678.7600935086595
50,258.3143743025024
51,330.83546043224976
52,384.5053458791953
53,278.7645426147785
54,318.98779081057745
55,257.25541061666394
56,759.0373127963179
57,241.2755631285553
58,386.4458828098672
59,456.25639828674497
60,272.81439538023244
61,532.4292204957248
62,0.0
